Publishing Date,Headlines,Category
4/1/2006,['KSE index plunges by 83 points'],Market
4/6/2006,"['Karachi stocks record mixed trend,,,,,By our correspondent']",Market
4/8/2006,['KSE index touches another all-time high'],Market
4/9/2006,"['KSE performs well, index gains 451 points']",Market
4/11/2006,"['KSE breaches 12,000 barrier briefly']",Market
4/13/2006,"['KSE elects non-member chairman', 'KSE resumes business today']",Market
4/14/2006,"['KSE breaches 12,000 barrier amid tension', 'KSE board advised to follow good governance']",Market
4/16/2006,['KSE extends gains despite law & order situation'],Market
4/18/2006,"['Oil scrips fuel KSE, index gains 137 points']",Market
4/19/2006,"['Technical correction hits KSE, index loses 158 points']",Market
4/21/2006,['KSE records modest gain amid thin turnover'],Market
4/22/2006,"['Bears dominate KSE, index loses 68 points']",Market
4/25/2006,"['KSE breaches 12,000 barrier into reverse gear']",Market
4/26/2006,['Karachi stocks recover 139 points'],Market
4/28/2006,"['KSE moving in right direction', 'Bargain hunting sets in at KSE']",Market
4/29/2006,"['Bears dominate KSE, index loses 341 points']",Market
4/30/2006,"['KSE suffers huge losses, index plummets 665 points']",Market
5/3/2006,"['Bulls regain control, KSE index recovers 230 points']",Market
5/4/2006,['Karachi stocks recover 155 points'],Market
5/10/2006,['Profit-taking wipes out earlier gains at KSE'],Market
5/13/2006,['Day-traders book gains in range-bound KSE'],Market
5/14/2006,['KSE-30 index likely to work from July'],Market
5/19/2006,"['KSE again fails to maintain 11,000 level']",Market
5/20/2006,['KSE gains 173 points despite volatility'],Market
5/23/2006,['Karachi stocks maintain bullish drive'],Market
5/24/2006,['Bombay market crash not to affect KSE: analysts'],Market
5/25/2006,"['KSE index crosses 11,000 mark, gains 184 points']",Market
6/1/2006,"['KSE breaches 10,000 barrier in reverse gear']",Market
6/2/2006,"['KSE breaches 10,000 barrier, index gains 383 points']",Market
6/6/2006,['KSE sees thinnest turnover this year'],Market
6/8/2006,['KSE records post-budget technical correction'],Market
6/9/2006,"['KSE joins falling Asian stocks, dives 427 points', 'KSE close to return to its Dec position']",Market
6/10/2006,['Karachi stocks move both ways'],Market
6/11/2006,['Entire year’s gains wiped out at KSE'],Market
6/13/2006,"['KSE breaches 9,800 barrier in reverse gear']",Market
6/14/2006,"['SECP sets no timeframe for KSE probe', 'Doomsday at KSE as index plunges 418 points']",Market
6/15/2006,"['KSE loses 1,607 points since budget', 'Karachi stocks record largest single day fall']",Market
6/16/2006,"['KSE amends trading rules', 'KSE recovers 410 points, breaches 9,000 barrier']",Market
6/17/2006,"['Bulls dominate KSE, index gains 430 points']",Market
6/18/2006,"['KSE averts big crash, loses 243 points during week']",Market
6/20/2006,['KSE jumps 337 points on selective buying'],Market
6/21/2006,"['KSE board saves its skin, pacifies watchdog', 'KSE crosses 10,000 mark on selective buying']",Market
6/23/2006,"['KSE records volatile activity, gains 68 points']",Market
6/24/2006,"['KSE expected to consolidate around 13,000 by December']",Market
6/25/2006,['KSE recovers 200 points during week'],Market
6/27/2006,"['KSE loses 9,500 support level on selling pressure']",Market
6/28/2006,['KSE needs software to expose short selling'],Market
6/29/2006,"['Institutional buying helps KSE sustain 9,000 level']",Market
6/30/2006,"['KSE extends gains on selective buying', 'KSE set to breach 10,000 barrier']",Market
7/1/2006,"['KSE-30 Index launch delayed', 'Fiscal year ends with moderate gains at KSE']",Market
7/2/2006,['Institutional buying reinforces investor confidence at KSE'],Market
7/5/2006,['Karachi stocks recover 226 points'],Market
7/6/2006,['Banks’ rally helps KSE gain 107 points'],Market
7/8/2006,['KSE sees moderate losses as gainers outnumber losers'],Market
7/9/2006,['KSE seeks consolidation at current levels'],Market
7/11/2006,['KSE loses 331 points on profit-taking'],Market
7/13/2006,"['Sustainability questioned as KSE nears 10,000 level']",Market
7/14/2006,"['Energy, cement shares help KSE gain 94 points']",Market
7/15/2006,"['KSE remains volatile, gains 12 points']",Market
7/16/2006,"['Karachi stocks maintain 10,000 level']",Market
7/18/2006,"['SECP approves implementation of KSE-30 index', 'KSE fails to consolidate above 10,000']",Market
7/19/2006,"['Banking, energy scrips fuel KSE rise']",Market
7/20/2006,['Profit-taking restricts KSE rise'],Market
7/22/2006,['KSE closes positive on short covering'],Market
7/25/2006,['KSE extends moderate gains amid thin volumes'],Market
7/28/2006,"['Bulls rule KSE, index gains 87 points']",Market
7/29/2006,['Political instability triggers offloading at KSE'],Market
8/1/2006,['KSE gains 144 points in thin volume'],Market
8/2/2006,['KSE records modest gain despite volatility'],Market
8/3/2006,['Profit-taking trims gains on KSE'],Market
8/4/2006,"['KSE gains 113 points, breaches 10,600 level']",Market
8/5/2006,['KSE up 105 points on fresh flow of funds'],Market
8/6/2006,['Capitalisation crosses Rs3 trillion at KSE'],Market
8/8/2006,['Oil sector helps KSE gain 74 points'],Market
8/9/2006,['Karachi stocks witness modest decline'],Market
8/10/2006,"['KSE suffers technical correction, loses 173 points']",Market
8/11/2006,['Panic selling continues at KSE'],Market
8/13/2006,"['Bears rule KSE, capitalisation falls below Rs3 trillion']",Market
8/16/2006,['Blue chip’s payout fails to lift KSE'],Market
8/17/2006,['KSE gains 259 points on across the board buying'],Market
8/18/2006,['KSE sees mild correction on healthy volume'],Market
8/19/2006,"['Volatility rules KSE, index records modest gain']",Market
8/20/2006,['KSE consolidates ahead of rollover week'],Market
8/22/2006,['KSE index down on selling pressure'],Market
8/23/2006,['KSE loses 260 points on negative sentiments'],Market
8/24/2006,['Volatile KSE closes with marginal gains'],Market
8/25/2006,['Panic selling pushes KSE index down'],Market
8/26/2006,['KSE breaches four barriers in reverse gear'],Market
8/29/2006,['KSE gains 291 points in volatile session'],Market
8/30/2006,['KSE closes 66 points up on short-covering'],Market
8/31/2006,"['Karachi bourse set to launch KSE-30 index from Sept 1', '-KSE gains 143 points on buying spree']",Market
9/1/2006,"['Buying in pivotals keeps KSE above 10,000 mark']",Market
9/5/2006,['Buying in cement averts big losses at KSE'],Market
9/8/2006,"['KSE breaches 10,000 barrier in reverse gear']",Market
9/10/2006,['KSE shows lacklustre performance'],Market
9/12/2006,['KSE sheds 72 points amid dull activity'],Market
9/13/2006,"['Rise in CFS cap spurs KSE, index gains 264 points']",Market
9/15/2006,['Karachi stocks record modest gain'],Market
9/16/2006,"['KSE sheds 44 points amid low trading', 'Canadian business team visits KSE']",Market
9/17/2006,['KSE index moves both ways'],Market
9/19/2006,"['-Bears rule KSE, index loses 108 points', 'Cell set up at KSE for demutualisation']",Market
9/20/2006,"['KSE big fish vying to arm speculators', 'KSE sees cautious buying at support levels']",Market
9/21/2006,['KSE gains 124 points as bulls continue to drive'],Market
9/23/2006,['KSE-100 index gains 152 points'],Market
9/24/2006,['Karachi stocks gain 322 points'],Market
9/26/2006,['KSE suffers technical correction'],Market
9/27/2006,"['-KSE moves both ways, gains 53 points']",Market
9/28/2006,"['Oil, banking scrips push KSE up 81 points']",Market
9/29/2006,"['KSE breaches 10,500 mark, gains 142 points']",Market
9/30/2006,['KSE witnesses modest technical correction'],Market
10/3/2006,"['KSE-100 index crosses 10,600 mark']",Market
10/4/2006,"['Faithful extend positions on KSE in holy month', 'KSE moves both ways, loses 23 points']",Market
10/5/2006,['KSE gains 151 points on buying at dips'],Market
10/6/2006,['KSE capitalisation crosses Rs3 trillion mark'],Market
10/8/2006,['KSE may propose changes in netting rules'],Market
10/10/2006,"['KSE index fails to maintain 11,000 level']",Market
10/11/2006,"['KSE remains volatile, gains 17 points']",Market
10/12/2006,['KSE undergoes technical correction'],Market
10/13/2006,['Karachi stocks remain highly volatile'],Market
