Publishing Date,Headlines,Category,Structural Hierarchy Description
4/1/2006,['KSE index plunges by 83 points'],Market,Stock Market
4/6/2006,"['Karachi stocks record mixed trend,,,,,By our correspondent']",Market,Stock Market
4/8/2006,['KSE index touches another all-time high'],Market,Stock Market
4/9/2006,"['KSE performs well, index gains 451 points']",Market,Stock Market
4/11/2006,"['KSE breaches 12,000 barrier briefly']",Market,Stock Market
4/13/2006,"['KSE elects non-member chairman', 'KSE resumes business today']",Market,Stock Market
4/14/2006,"['KSE breaches 12,000 barrier amid tension', 'KSE board advised to follow good governance']",Market,Stock Market
4/16/2006,['KSE extends gains despite law & order situation'],Market,Stock Market
4/18/2006,"['Oil scrips fuel KSE, index gains 137 points']",Market,Stock Market
4/19/2006,"['Technical correction hits KSE, index loses 158 points']",Market,Stock Market
4/21/2006,['KSE records modest gain amid thin turnover'],Market,Stock Market
4/22/2006,"['Bears dominate KSE, index loses 68 points']",Market,Stock Market
4/25/2006,"['KSE breaches 12,000 barrier into reverse gear']",Market,Stock Market
4/26/2006,['Karachi stocks recover 139 points'],Market,Stock Market
4/28/2006,"['KSE moving in right direction', 'Bargain hunting sets in at KSE']",Market,Stock Market
4/29/2006,"['Bears dominate KSE, index loses 341 points']",Market,Stock Market
4/30/2006,"['KSE suffers huge losses, index plummets 665 points']",Market,Stock Market
5/3/2006,"['Bulls regain control, KSE index recovers 230 points']",Market,Stock Market
5/4/2006,['Karachi stocks recover 155 points'],Market,Stock Market
5/10/2006,['Profit-taking wipes out earlier gains at KSE'],Market,Stock Market
5/13/2006,['Day-traders book gains in range-bound KSE'],Market,Stock Market
5/14/2006,['KSE-30 index likely to work from July'],Market,Stock Market
5/19/2006,"['KSE again fails to maintain 11,000 level']",Market,Stock Market
5/20/2006,['KSE gains 173 points despite volatility'],Market,Stock Market
5/23/2006,['Karachi stocks maintain bullish drive'],Market,Stock Market
5/24/2006,['Bombay market crash not to affect KSE: analysts'],Market,Stock Market
5/25/2006,"['KSE index crosses 11,000 mark, gains 184 points']",Market,Stock Market
6/1/2006,"['KSE breaches 10,000 barrier in reverse gear']",Market,Stock Market
6/2/2006,"['KSE breaches 10,000 barrier, index gains 383 points']",Market,Stock Market
6/6/2006,['KSE sees thinnest turnover this year'],Market,Stock Market
6/8/2006,['KSE records post-budget technical correction'],Market,Stock Market
6/9/2006,"['KSE joins falling Asian stocks, dives 427 points', 'KSE close to return to its Dec position']",Market,Stock Market
6/10/2006,['Karachi stocks move both ways'],Market,Stock Market
6/11/2006,['Entire year’s gains wiped out at KSE'],Market,Stock Market
6/13/2006,"['KSE breaches 9,800 barrier in reverse gear']",Market,Stock Market
6/14/2006,"['SECP sets no timeframe for KSE probe', 'Doomsday at KSE as index plunges 418 points']",Market,Stock Market
6/15/2006,"['KSE loses 1,607 points since budget', 'Karachi stocks record largest single day fall']",Market,Stock Market
6/16/2006,"['KSE amends trading rules', 'KSE recovers 410 points, breaches 9,000 barrier']",Market,Stock Market
6/17/2006,"['Bulls dominate KSE, index gains 430 points']",Market,Stock Market
6/18/2006,"['KSE averts big crash, loses 243 points during week']",Market,Stock Market
6/20/2006,['KSE jumps 337 points on selective buying'],Market,Stock Market
6/21/2006,"['KSE board saves its skin, pacifies watchdog', 'KSE crosses 10,000 mark on selective buying']",Market,Stock Market
6/23/2006,"['KSE records volatile activity, gains 68 points']",Market,Stock Market
6/24/2006,"['KSE expected to consolidate around 13,000 by December']",Market,Stock Market
6/25/2006,['KSE recovers 200 points during week'],Market,Stock Market
6/27/2006,"['KSE loses 9,500 support level on selling pressure']",Market,Stock Market
6/28/2006,['KSE needs software to expose short selling'],Market,Stock Market
6/29/2006,"['Institutional buying helps KSE sustain 9,000 level']",Market,Stock Market
6/30/2006,"['KSE extends gains on selective buying', 'KSE set to breach 10,000 barrier']",Market,Stock Market
7/1/2006,"['KSE-30 Index launch delayed', 'Fiscal year ends with moderate gains at KSE']",Market,Stock Market
7/2/2006,['Institutional buying reinforces investor confidence at KSE'],Market,Stock Market
7/5/2006,['Karachi stocks recover 226 points'],Market,Stock Market
7/6/2006,['Banks’ rally helps KSE gain 107 points'],Market,Stock Market
7/8/2006,['KSE sees moderate losses as gainers outnumber losers'],Market,Stock Market
